timestamp	company	status
2026-09-06T09:12:22.820Z	Intercom	reachable
2026-09-06T09:12:22.820Z	Adyen	reachable
2026-09-06T09:12:22.820Z	Elastic	reachable
2026-09-06T09:12:22.820Z	Miro	reachable
2026-09-06T09:12:22.820Z	Anthropic	reachable
2026-09-06T09:12:22.820Z	OpenAI	reachable
2026-09-06T09:12:22.820Z	Mistral AI	empty
2026-09-06T09:12:22.820Z	Hugging Face	reachable
2026-09-06T09:12:22.820Z	Satispay	reachable
2026-09-06T09:12:22.820Z	Scalapay	reachable
2026-09-06T09:12:22.820Z	N26	reachable
2026-09-07T10:00:20.512Z	Stripe	reachable
2026-09-07T10:00:20.512Z	Workday	reachable
2026-09-07T10:00:20.512Z	HubSpot	empty
2026-09-07T10:00:20.512Z	Intercom	reachable
2026-09-07T10:00:20.512Z	Adyen	reachable
2026-09-07T10:00:20.512Z	Elastic	reachable
2026-09-07T10:00:20.512Z	Miro	reachable
2026-09-07T10:00:20.512Z	Anthropic	reachable
2026-09-07T10:00:20.512Z	OpenAI	reachable
2026-09-07T10:00:20.512Z	Mistral AI	empty
2026-09-07T10:00:20.512Z	Hugging Face	reachable
2026-09-07T10:00:20.512Z	Satispay	reachable
2026-09-07T10:00:20.512Z	Scalapay	reachable
2026-09-07T10:00:20.512Z	N26	reachable
2026-09-08T09:25:39.682Z	Stripe	reachable
2026-09-08T09:25:39.682Z	Workday	reachable
2026-09-08T09:25:39.682Z	HubSpot	empty
2026-09-08T09:25:39.682Z	Intercom	reachable
2026-09-08T09:25:39.682Z	Adyen	reachable
2026-09-08T09:25:39.682Z	Elastic	reachable
2026-09-08T09:25:39.682Z	Miro	reachable
2026-09-08T09:25:39.682Z	Anthropic	reachable
2026-09-08T09:25:39.682Z	OpenAI	reachable
2026-09-08T09:25:39.682Z	Mistral AI	empty
2026-09-08T09:25:39.682Z	Hugging Face	reachable
2026-09-08T09:25:39.682Z	Satispay	reachable
2026-09-08T09:25:39.682Z	Scalapay	reachable
2026-09-08T09:25:39.682Z	N26	reachable
2026-09-09T09:27:14.334Z	Stripe	reachable
2026-09-09T09:27:14.334Z	Workday	reachable
2026-09-09T09:27:14.334Z	HubSpot	empty
2026-09-09T09:27:14.334Z	Intercom	reachable
2026-09-09T09:27:14.334Z	Adyen	reachable
2026-09-09T09:27:14.334Z	Elastic	reachable
2026-09-09T09:27:14.334Z	Miro	reachable
2026-09-09T09:27:14.334Z	Anthropic	reachable
2026-09-09T09:27:14.334Z	OpenAI	reachable
2026-09-09T09:27:14.334Z	Mistral AI	empty
2026-09-09T09:27:14.334Z	Hugging Face	reachable
2026-09-09T09:27:14.334Z	Satispay	reachable
2026-09-09T09:27:14.334Z	Scalapay	reachable
2026-09-09T09:27:14.334Z	N26	reachable
2026-09-10T09:26:17.400Z	Stripe	reachable
2026-09-10T09:26:17.400Z	Workday	reachable
